Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,,Tue Jun 30 13:01:39 EDT 2026,Assignment1.java,1782838899948,31850,0,(I)3(R)1(I)4(D)1(F)3,58.333333333333336,8.333333333333332,0.0,25.0,8.333333333333332,0.0,0.3870967741935484,0.0,0.03225806451612903,0.0967741935483871,0.0,0.03225806451612903,0.22580645161290322,0.0,[]
,/modelData/A0UserStudy2010.arff,Tue Jun 30 13:01:39 EDT 2026,Assignment1.java, 1782838899948
2,,Tue Jun 30 13:04:36 EDT 2026,Assignment1.java,1782839076883,296202,0,(F)3(I)2(R)3(I)4(R)1(I)9,68.18181818181817,0.0,0.0,13.636363636363635,18.181818181818183,0.0,0.07432432432432433,0.0,0.0,0.010135135135135136,0.0,0.013513513513513514,0.05067567567567568,0.0,[]
3,,Tue Jun 30 13:09:33 EDT 2026,Assignment1.java,1782839373115,43064,0,(I)11(D)1(F)2(I)3,82.35294117647058,5.88235294117647,0.0,11.76470588235294,0.0,0.0,0.3953488372093023,0.0,0.023255813953488372,0.046511627906976744,0.0,0.0,0.32558139534883723,0.0,[]
4,,Tue Jun 30 13:10:16 EDT 2026,Assignment1.java,1782839416590,21242,0,(I)21,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,[]
5,,Tue Jun 30 13:10:38 EDT 2026,Assignment1.java,1782839438308,16857,0,(I)2(D)1(F)2(I)12(R)4,66.66666666666666,4.761904761904762,0.0,9.523809523809524,19.047619047619047,0.0,1.3125,0.0,0.0625,0.125,0.0,0.25,0.875,0.0,[]
6,,Tue Jun 30 13:10:55 EDT 2026,Assignment1.java,1782839455290,336458,0,(R)1(I R)1(R)1(D)1(F)2(I)1(F)2(I)1(D)1(F)2(I)1,28.57142857142857,14.285714285714285,0.0,42.857142857142854,21.428571428571427,0.0,0.041666666666666664,0.0,0.005952380952380952,0.017857142857142856,0.0,0.008928571428571428,0.011904761904761904,0.0,[]
7,,Tue Jun 30 13:10:35 EDT 2026,RunSS26A1Tests.java,1782839435169,386473,0,(I)2(R)1(I)9(D)2(I)1(F)2(D)1,66.66666666666666,16.666666666666664,0.0,11.11111111111111,5.555555555555555,0.0,0.046632124352331605,0.0,0.007772020725388601,0.0051813471502590676,0.0,0.0025906735751295338,0.031088082901554404,0.0,[]
8,,Tue Jun 30 13:17:01 EDT 2026,RunSS26A1Tests.java,1782839821821,5983,5983,(F)1,0.0,0.0,0.0,100.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,[]
9,,Wed Dec 31 19:00:00 EST 1969,RunSS26A1Tests.java,0,-1,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
10,,Tue Jun 30 13:17:07 EDT 2026,RunSS26A1Tests.java,1782839827938,16578,0,(D)6,0.0,100.0,0.0,0.0,0.0,0.0,0.375,0.0,0.375,0.0,0.0,0.0,0.0,0.0,[]
11,,Tue Jun 30 13:17:24 EDT 2026,RunSS26A1Tests.java,1782839844518,26216,0,(F)1(I)2,66.66666666666666,0.0,0.0,33.33333333333333,0.0,0.0,0.11538461538461539,0.0,0.0,0.038461538461538464,0.0,0.0,0.07692307692307693,0.0,[]
12,,Tue Jun 30 13:17:51 EDT 2026,RunSS26A1Tests.java,1782839871202,109206,0,(I)6(F)6(I)1(D)1(F)1,46.666666666666664,6.666666666666667,0.0,46.666666666666664,0.0,0.0,0.13761467889908258,0.0,0.009174311926605505,0.06422018348623854,0.0,0.0,0.06422018348623854,0.0,[]
13,,Wed Dec 31 19:00:00 EST 1969,RunSS26A1Tests.java,0,-1,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
14,,Wed Dec 31 19:00:00 EST 1969,RunSS26A1Tests.java,0,-1,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
15,,Tue Jun 30 13:19:40 EDT 2026,RunSS26A1Tests.java,1782839980541,45,45,(D)1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
16,,Tue Jun 30 13:19:40 EDT 2026,RunSS26A1Tests.java,1782839980596,148400,0,(D)5(F)1(I)1(F)2(I)1(F)2(I)1(F)2,20.0,33.33333333333333,0.0,46.666666666666664,0.0,0.0,0.10135135135135136,0.0,0.033783783783783786,0.0472972972972973,0.0,0.0,0.02027027027027027,0.0,[]
17,,Tue Jun 30 13:22:09 EDT 2026,RunSS26A1Tests.java,1782840129074,980829,0,(I)6(F)2(I)3(F)2(I)1(F)6,50.0,0.0,0.0,50.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.01020408163265306,0.0,0.0,0.01020408163265306,0.0,[]
18,,Tue Jun 30 13:38:29 EDT 2026,RunSS26A1Tests.java,1782841109903,169676,0,(I)2(D)1(F)1,50.0,25.0,0.0,25.0,0.0,0.0,0.023668639053254437,0.0,0.005917159763313609,0.005917159763313609,0.0,0.0,0.011834319526627219,0.0,[]
19,,Wed Dec 31 19:00:00 EST 1969,RunSS26A1Tests.java,0,-1,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
20,,Tue Jun 30 13:41:31 EDT 2026,RunSS26A1Tests.java,1782841291280,69803,0,(F)1,0.0,0.0,0.0,100.0,0.0,0.0,0.014492753623188406,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,[]
